Pions,,Kaons,,Kaon to pi^o,
X,Y,X,Y,X,Y
2.2000000000000000,-6.98252959214934E-12,2.2000000000000000,-5.18987588000814E-12,2.200000000000000,-1.48681459075247E-13
2.25,-5.19918214524308E-12,2.2500000000000000,-5.2386327998839E-12,2.2500000000000000,-1.45813192638052E-13
2.300000000000000,-3.96980957171824E-12,2.3,-5.09376990381436E-12,2.3000000000000000,-1.27884163389314E-13
2.350000000000000,-2.90384235063962E-12,2.3500000000000000,-5.04641147244187E-12,2.35,-1.11175590789659E-13
2.400000000000000,-2.14541065529392E-12,2.400000000000000,-4.99950990965996E-12,2.4000000000000000,-1.09054178162439E-13
2.450000000000000,-1.65267937269003E-12,2.450000000000000,-4.95306064837972E-12,2.4500000000000000,-9.56094185783909E-14
2.500000000000000,-1.23651540421155E-12,2.5000000000000000,-4.95306064837972E-12,2.5000000000000000,-1.1264274072672E-13
2.550000000000000,-9.38057308798406E-13,2.550000000000000,-4.90705916876183E-12,2.5500000000000000,-8.11364233168972E-14
2.6000000000000000,-7.28097262691342E-13,2.6000000000000000,-4.81638170837942E-12,2.6000000000000000,-8.02775583932532E-14
2.6500000000000000,-5.39640267000278E-13,2.6500000000000000,-4.68361354552234E-12,2.6500000000000000,-6.76245289864653E-14
2.7000000000000000,-4.14589985132037E-13,2.7000000000000000,-4.64020642227475E-12,2.7000000000000000,-6.18833375488712E-14
2.7500000000000000,-3.0852383213724E-13,2.7500000000000000,-4.59721672305897E-12,2.750000000000000,-6.15791316733035E-14
2.800000000000000,-2.3381634251276E-13,2.800000000000000,-4.36690868027782E-12,0,0
2.850000000000000,-1.67250870581613E-13,2.850000000000000,-4.30763264535627E-12,0,0
2.9000000000000000,-1.1632653087754E-13,2.9000000000000000,-4.26783614023703E-12,0,0
2.9500000000000000,-8.21003655371562E-14,2.9500000000000000,-4.22842112953402E-12,0,0
3.0000000000000000,-5.78229663634923E-14,3.0000000000000000,-4.1893838237065E-12,0,0
0,0,3.0500000000000000,-4.07450082196192E-12,0,0
0,0,3.100000000000000,-3.89024067471191E-12,0,0
0,0,3.150000000000000,-3.78385635445804E-12,0,0
0,0,3.2000000000000000,-3.68048862496403E-12,0,0
0,0,3.2500000000000000,-3.58004891118462E-12,0,0
0,0,3.3000000000000000,-3.4189240031597E-12,0,0
0,0,3.350000000000000,-3.29545195727367E-12,0,0
0,0,3.400000000000000,-3.23546059180267E-12,0,0
0,0,3.450000000000000,-2.99069935310884E-12,0,0
0,0,3.4999999999999900,-3.00660373798152E-12,0,0
0,0,3.5499999999999900,-2.95205920988769E-12,0,0
0,0,3.5999999999999900,-2.67977953057523E-12,0,0
0,0,3.649999999999990,-2.69433840418945E-12,0,0
0,0,3.699999999999990,-2.62166415753297E-12,0,0
0,0,3.749999999999990,-2.48235460659815E-12,0,0
0,0,3.7999999999999900,-2.39376919572828E-12,0,0
0,0,3.8499999999999900,-2.26699581433008E-12,0,0
0,0,3.8999999999999900,-2.16668109747002E-12,0,0
0,0,3.949999999999990,-2.08975179317624E-12,0,0
0,0,3.999999999999990,-2.01565382309191E-12,0,0
0,0,4.049999999999990,-1.81502356779593E-12,0,0
0,0,4.0999999999999900,-1.80929026365703E-12,0,0
0,0,4.149999999999990,-1.72989611103695E-12,0,0
0,0,4.199999999999990,-1.68400358278104E-12,0,0
0,0,4.249999999999990,-1.61030368244097E-12,0,0
0,0,4.299999999999990,-1.46390651220317E-12,0,0
0,0,4.349999999999990,-1.36319827098508E-12,0,0
0,0,4.3999999999999900,-1.34739692538356E-12,0,0
0,0,4.449999999999990,-1.30039651641689E-12,0,0
0,0,4.499999999999990,-1.17235198762324E-12,0,0
0,0,4.549999999999990,-1.13877050425525E-12,0,0
0,0,4.599999999999990,-1.07099019762318E-12,0,0
0,0,4.649999999999990,-1.02454922246103E-12,0,0
0,0,4.69999999999999,-9.97897003088752E-13,0,0
0,0,4.74999999999999,-9.3038503258629E-13,0,0
0,0,4.79999999999999,-8.46804956869031E-13,0,0
0,0,4.849999999999990,-8.08945132163127E-13,0,0
0,0,4.89999999999999,-7.67786594244216E-13,0,0
0,0,4.9499999999999900,-7.20875123565661E-13,0,0
